Part	X-MID	Y-MID	Angle	Value	Footprint
C1	-0.64	-24.13	0.00	4.7n	C_0603
C12	8.89	-6.99	90.00	100n	C_0603
C13	11.43	-6.99	0.00	1u	C_0603
C14	3.81	-24.13	270.00	1u	C_0603
C15	2.54	-24.13	270.00	100n	C_0603
C16	22.23	-10.79	90.00	18p	C_0603
C17	22.23	-3.18	270.00	18p	C_0603
C18	-4.45	0.00	0.00	47u	C_1210
C2	11.43	-8.26	0.00	1u	C_0603
C20	0.00	-1.27	90.00	47u	C_1210
C21	-8.89	-1.27	90.00	47u	C_1210
C3	6.35	-24.77	180.00	1u	C_0603
C74	-2.54	-13.97	270.00	10u	C_0805
C75	-12.07	-19.05	180.00	1u	C_1206
D2	-10.16	25.40	180.00		SOD523
D3	-6.35	25.40	0.00		SOD523
D4	-1.27	25.40	180.00		SOD523
D5	2.54	25.40	0.00		SOD523
FB1	-12.70	20.32	270.00		R_0603
FB2	-10.79	20.32	270.00		R_0603
FB3	-6.35	20.32	270.00		R_0603
FB4	-2.54	20.32	270.00		R_0603
FB5	3.18	20.32	270.00		R_0603
FB6	5.08	20.32	270.00		R_0603
R1	-33.02	-33.02	270.00	0	R_0603
R3	34.29	-26.04	0.00	47	R_0402
R4	34.29	-23.50	0.00	47	R_0402
R5	34.29	-20.96	0.00	47	R_0402
R60	-3.18	-23.50	270.00	10k	R_0603
R62	-5.08	-23.50	90.00	10k	R_0603
R63	-11.43	13.97	270.00	1.8k	R_0603
R64	-13.97	13.97	270.00	680	R_0603
R65	5.08	13.97	270.00	13.3k	R_0603
R66	2.54	13.97	270.00	4.99k	R_0603
R67	0.00	13.97	270.00	1.8k	R_0603
R68	-2.54	13.97	270.00	680	R_0603
R7	6.99	-6.99	90.00	10k	R_0603
R8	-6.35	13.97	270.00	13.3k	R_0603
R9	-8.89	13.97	270.00	4.99k	R_0603
S1	-40.00	23.50	0.00	TSWITCH_SMTR2	SMTR2
S2	-40.00	17.50	0.00	TSWITCH_SMTR2	SMTR2
S3	-40.00	11.50	0.00	TSWITCH_SMTR2	SMTR2
S4	-40.00	5.50	0.00	TSWITCH_SMTR2	SMTR2
U1	-9.14	-13.97	90.00	GN78M05A	TO-252
U2	5.08	-17.14	0.00	ADS1263-TSSOP-28	SOP65P640X120-28N
XTAL1	18.41	-6.99	90.00	7.3728MHz	XTAL
